"deviceName","date","time","state","volts","radioPowerLevel","repeated"
"BACK","2024-12-26","09:12:16",1,4083,-84,""
"FRONT","2024-12-26","09:12:17",2,4083,-84,""
"FRONT","2024-12-26","09:12:54",1,4082,-89,""
"BIFOLD","2024-12-26","09:13:45",1,4095,-81,""
"FRONT","2024-12-26","09:14:12",2,4044,-76,""
"LOUNGE","2024-12-26","09:14:50",1,4028,-78,""
"LOUNGE","2024-12-26","09:14:52",2,4028,-78,""
"LOUNGE","2024-12-26","09:14:53",1,4028,-78,""
"LOUNGE","2024-12-26","09:14:54",2,4028,-78,""
"LOUNGE","2024-12-26","09:14:55",1,4028,-78,""
"DINING","2024-12-26","09:15:14",1,4001,-78,""
"FRONT","2024-12-26","09:21:40",1,4083,-82,""
"FRONT","2024-12-26","09:21:41",2,4083,-82,""
"FRONT","2024-12-26","09:22:42",1,4059,-88,""
"FRONT","2024-12-26","12:53:33",1,4089,-84,"X"
"DINING","2024-12-26","14:08:09",1,4058,-85,"X"
"BIFOLD","2024-12-27","16:58:42",2,4095,-69,""
"BIFOLD","2024-12-27","16:59:03",1,4095,-68,""
"DINING","2024-12-28","03:25:35",2,3567,-70,""
"LOUNGE","2024-12-28","08:33:53",1,4000,-78,"XOK"
"LOUNGE","2024-12-28","08:33:54",2,4000,-77,""
"LOUNGE","2024-12-28","08:33:55",1,4000,-77,""
"LOUNGE","2024-12-28","08:33:56",2,4000,-77,""
"LOUNGE","2024-12-28","08:33:57",1,4000,-77,""
"DINING","2024-12-28","08:34:26",2,3620,-78,"XOK"
"DINING","2024-12-28","08:34:27",1,3620,-78,""
"DINING","2024-12-28","08:34:28",2,3620,-78,""
"DINING","2024-12-28","08:34:30",1,3620,-78,""
"DINING","2024-12-28","08:34:31",2,3620,-78,""
"DINING","2024-12-28","08:34:32",1,3620,-78,""
"FRONT","2024-12-28","12:13:02",2,4089,-87,""
"FRONT","2024-12-28","12:13:22",1,4036,-84,""
"FRONT","2024-12-28","12:13:23",2,4036,-84,""
"FRONT","2024-12-28","12:13:44",1,4046,-87,""
"FRONT","2024-12-28","14:29:29",1,4066,-82,"XOK"
"FRONT","2024-12-28","14:29:30",2,4066,-82,""
"FRONT","2024-12-28","14:30:23",1,4068,-88,""
"LOUNGE","2024-12-28","19:18:04",1,4007,-83,"XOK"
"LOUNGE","2024-12-28","19:18:05",2,4007,-83,""
"LOUNGE","2024-12-29","08:38:48",2,4003,-83,"X"
"LOUNGE","2024-12-29","08:39:35",1,4000,-75,""
"FRONT","2024-12-29","09:51:23",2,4075,-87,""
"FRONT","2024-12-29","09:52:34",1,4059,-86,""
"BIFOLD","2024-12-29","11:32:24",2,4095,-82,""
"BIFOLD","2024-12-29","11:34:16",1,4095,-80,""
"FRONT","2024-12-29","12:01:33",2,4072,-81,""
"FRONT","2024-12-29","12:28:27",2,4067,-83,"X"
"BIFOLD","2024-12-29","13:10:22",2,4095,-84,""
"BIFOLD","2024-12-29","13:10:32",1,4095,-77,""
"FRONT","2024-12-29","19:51:57",1,4082,-84,""
"FRONT","2024-12-29","19:52:10",2,4040,-86,""
"FRONT","2024-12-29","20:02:46",2,4057,-86,"XOK"
"FRONT","2024-12-29","20:02:47",1,4057,-86,""
"FRONT","2024-12-30","20:14:26",2,4064,-86,""
"FRONT","2024-12-30","20:14:27",1,4064,-86,""
"FRONT","2024-12-30","20:14:28",2,4064,-86,""
"FRONT","2024-12-30","20:15:14",1,4007,-87,""
"BIFOLD","2024-12-31","11:00:43",1,4095,-79,"XOK"
"BIFOLD","2024-12-31","11:00:44",2,4095,-79,""
"BIFOLD","2024-12-31","12:34:52",1,4095,-80,""
"BIFOLD","2024-12-31","12:35:04",2,4095,-65,""
"BIFOLD","2024-12-31","12:35:05",1,4095,-65,""
"FRONT","2024-12-31","14:41:51",1,4056,-91,"XOK"
"FRONT","2024-12-31","14:41:52",2,4056,-91,""
"FRONT","2024-12-31","16:20:04",2,4055,-83,"XOK"
"FRONT","2024-12-31","16:20:05",1,4055,-83,""
"FRONT","2024-12-31","16:38:30",2,4057,-87,""
"FRONT","2024-12-31","16:38:46",1,4051,-84,""
"BIFOLD","2024-12-31","17:22:48",1,4095,-78,"XOK"
"BIFOLD","2024-12-31","17:22:50",2,4095,-78,""
"BIFOLD","2024-12-31","17:23:06",1,4095,-83,""
"BIFOLD","2024-12-31","17:23:19",2,4095,-82,""
"BIFOLD","2024-12-31","17:24:26",2,4095,-84,"XOK"
"BIFOLD","2024-12-31","17:24:27",1,4095,-84,""
"FRONT","2025-01-02","10:12:55",2,4051,-86,""
"FRONT","2025-01-02","11:21:11",1,4055,-80,""
"FRONT","2025-01-02","11:34:16",2,4052,-83,""
"FRONT","2025-01-02","11:35:10",1,4037,-89,""
"FRONT","2025-01-02","13:39:16",1,4038,-83,"XOK"
"FRONT","2025-01-02","13:39:17",2,4038,-83,""
"FRONT","2025-01-02","15:13:23",2,4028,-82,"XOK"
"FRONT","2025-01-02","15:13:25",1,4028,-82,""
"FRONT","2025-01-02","15:13:26",2,4028,-82,""
"FRONT","2025-01-02","15:18:10",1,4028,-87,""
"FRONT","2025-01-03","08:24:26",2,3751,-81,""
"FRONT","2025-01-03","08:24:59",1,3742,-86,""
"FRONT","2025-01-03","08:25:00",2,3742,-86,""
"FRONT","2025-01-03","09:22:46",2,3772,-85,"X"
"FRONT","2025-01-03","09:29:23",1,3787,-82,""
"FRONT","2025-01-03","13:43:18",2,3839,-82,""
"FRONT","2025-01-03","13:43:37",1,3843,-81,""
"FRONT","2025-01-03","13:51:58",1,3839,-84,"XOK"
"FRONT","2025-01-03","13:51:59",2,3839,-84,""
"FRONT","2025-01-03","14:45:14",1,3849,-91,""
"FRONT","2025-01-03","14:45:15",2,3849,-91,""
"FRONT","2025-01-03","14:45:16",1,3849,-91,""
"FRONT","2025-01-03","14:47:56",2,3845,-82,""
"LOUNGE","2025-01-03","16:01:42",1,3996,-82,"XOK"
"LOUNGE","2025-01-03","16:01:43",2,3996,-82,""
"LOUNGE","2025-01-03","16:04:40",1,3977,-76,""
"LOUNGE","2025-01-03","17:36:28",2,3976,-87,""
"LOUNGE","2025-01-03","17:38:27",1,3971,-75,""
"LOUNGE","2025-01-03","18:04:39",1,3989,-85,"XOK"
"LOUNGE","2025-01-03","18:04:40",2,3989,-85,""
"LOUNGE","2025-01-03","18:12:51",2,3956,-78,"XOK"
"LOUNGE","2025-01-03","18:12:52",1,3956,-78,""
"FRONT","2025-01-03","18:21:27",1,3828,-84,""
"FRONT","2025-01-03","18:24:43",2,3824,-86,""
"FRONT","2025-01-03","18:27:30",1,3826,-88,""
"FRONT","2025-01-05","10:05:14",1,3823,-90,"XOK"
"FRONT","2025-01-05","10:05:15",2,3823,-90,""
"LOUNGE","2025-01-05","10:14:10",1,3990,-77,"XOK"
"LOUNGE","2025-01-05","10:14:11",2,3990,-77,""
